OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,StoreCode
87501,47612,4164,2026-05-12,7,30603.2,S001
87502,32868,4627,2025-10-20,10,13827.92,S023
87503,34625,3588,2026-03-27,10,14741.11,S039
87504,4039,3801,2025-12-09,3,32727.83,S043
87505,27001,3535,2026-03-06,6,41706.49,S046
87506,5022,4330,2026-01-04,6,-1423.99,S043
87507,18115,1740,2025-08-07,8,32647.7,S012
87508,12759,2431,2026-02-25,7,47656.98,S026
87509,5192,2775,2026-03-27,9,44118.5,S040
87510,42770,4127,2026-06-21,2,20870.36,S021
87511,2378,2449,2025-10-31,2,33083.46,S035
87512,33693,295,2025-09-08,4,49493.96,S001
87513,48626,2135,2025-07-02,2,12163.77,S019
87514,45060,148,2026-02-04,1,11650.53,S020
87515,7835,2017,2025-10-17,8,19144.98,S007
87516,3594,810,2026-02-17,5,6368.61,S040
87517,13802,2716,2025-11-24,5,35698.55,S011
87518,21985,670,2026-06-22,10,16965.42,S007
87519,40251,1603,2026-07-28,8,21229.57,S032
87520,44402,3835,2025-07-01,3,26873.87,S046
87521,28123,2275,2026-03-09,5,450.41,S012
87522,5716,1393,2026-06-12,8,1552.85,S025
87523,45259,1625,2025-12-25,9,22607.23,S012
87524,16367,4515,2025-11-22,3,25567.63,S003
87525,49253,88888888,2026-06-16,9,11256.88,S002
87526,11726,3698,2025-08-11,6,37272.95,S002
87527,10831,387,2026-02-10,2,20867.03,S020
87528,3092,541,2026-03-06,9,13365.74,S007
87529,1537,3717,2026-05-23,9,32430.58,S046
87530,49943,3251,2025-07-25,3,17269.04,S016
87531,2803,3056,2025-09-07,10,21097.96,S007
87532,34336,363,2026-06-03,7,20141.74,S015
87533,13221,2303,2026-03-27,4,34000.99,S048
87534,10470,3441,2026-03-04,5,17720.35,S012
87535,43022,631,2025-07-04,6,47436.9,S022
87536,31872,4044,2026-01-11,4,30117.63,S011
87537,25063,231,2025-08-14,8,15947.46,S030
87538,31073,4730,2026-05-13,5,31572.87,S045
87539,38423,307,2026-06-10,3,19694.99,S016
87540,20904,2985,2026-06-09,6,24245.54,S009
87541,46975,1327,2026-05-12,8,39116.46,S048
87542,31342,4119,2026-03-16,3,44248.61,S001
87543,7909,2471,2025-07-09,8,38220.52,S008
87544,32463,3776,2025-09-18,9,48381.34,S016
87545,44086,1375,2025-09-22,7,19893.45,S021
87546,10862,1419,2026-04-11,1,2308.88,S050
87547,2936,2077,2026-01-18,1,12609.63,S028
87548,28440,1355,2025-08-05,3,30080.06,S035
87549,24493,4481,2025-08-25,2,6930.74,S012
87550,39942,362,2025-07-25,1,30309.38,S025
87551,39688,4936,2026-01-02,3,3089.93,S049
